TM_name	n_d_el_atom	n_d_el_bulk	n_H_atoms	q_M	q_O	bandgap	magmom	e_tot_all	n_TM	e_tot_pa	e_form_rel	d_MM	d_MO	3nOH_active	2nOH_active	1nOH_active	3nO_active	2nO_active	1nO_active	n_d_el_active	3nOH_adjacent	2nOH_adjacent	1nOH_adjacent	3nO_adjacent	2nO_adjacent	1nO_adjacent	n_d_el_adjacent	bridge	OER_dG_OH	OER_dG_O	OER_dG_OOH
Ti	4	0	0	2.02	-1.01	2.575	0	-93.89657716	4	-23.47414429	-0.285333253	3.042	2.008	0	0	0	3	2	0	0	0	0	0	3	2	0	0	0	2.02659	3.90615	4.53666
Ti	4	1	1	1.81	-1.225	1.396	0.988	-327.7805799	12	-27.31504832	-1.007170536	3.228	2.116	1	1	0	2	1	0	0.833333333	2	1	1	1	1	0	0.166666667	0	-0.655651	0.0576854	2.68655
Ti	4	2	2	1.46	-1.32	0.371	1.848	-118.8491111	4	-29.71227779	0	3.436	2.258	3	2	0	0	0	0	2	3	2	0	0	0	1	0	0	-1.04628	-0.23593	1.8174
V	5	1	0	1.89	-0.94	0.026	1.19	-87.79053775	4	-21.94763444	0.79330261	2.983	1.969	0	0	0	3	2	0	1	0	0	0	3	2	1	-1	0	0.638684	1.93575	3.98206
V	5	2	1	1.74	-1.188	1.422	1.955	-324.5214894	12	-27.04345745	-0.104817789	3.074	2.068	1	1	0	2	1	0	1.833333333	2	1	0	1	1	1	0.166666667	0	0.486668	1.62946	3.77206
V	5	3	2	1.41	-1.26	1.454	2.848	-121.3721586	4	-30.34303966	0	3.316	2.201	3	2	0	0	0	0	3	3	2	0	0	0	1	1	0	-0.340884	0.384954	2.66109
Cr	6	2	0	1.83	-0.91	0.679	2.061	-86.04246676	4	-21.51061669	0.942014124	2.962	1.948	0	0	0	3	2	0	2	0	0	0	3	2	1	0	0	1.61562	3.24401	4.81644
Cr	6	3	1	1.67	-1.158	2.96	2.997	-327.857733	12	-27.32147775	-0.522432816	3.059	2.03	1	1	0	2	1	0	2.833333333	2	1	0	1	1	1	1.166666667	0	1.07871	2.5866	4.12266
Cr	6	4	2	1.38	-1.28	1.705	3.825	-120.8137798	4	-30.20344494	0	3.588	2.271	3	2	0	0	0	0	4	3	2	0	0	0	1	2	0	0.816387	2.90163	3.14184
Mn	7	3	0	1.75	-0.88	1.734	3.114	-84.63062831	4	-21.15765708	1.15502766	2.914	1.937	0	0	0	3	2	0	3	0	0	0	3	2	1	1	0	1.57706	3.67608	4.37598
Mn	7	4	1	1.67	-1.153	1.376	3.857	-313.9201177	12	-26.16000981	0.71210259	3.236	2.079	1	1	0	2	1	0	3.833333333	2	1	1	1	1	0	3.166666667	1	-0.213267	1.04963	3.04574
Mn	7	4	1	1.67	-1.153	1.376	3.857	-313.9201177	12	-26.16000981	-11.39419476	3.236	2.079	1	1	0	2	1	0	3.833333333	2	1	1	1	1	0	3.166666667	0	0.845158	2.88606	4.16695
Mn	7	5	2	1.47	-1.3	1.685	4.652	-121.1060496	4	-30.2765124	0	3.362	2.223	3	2	0	0	0	0	5	3	2	1	0	0	0	4	0	0.552711	2.70495	3.51224
Fe	8	4	0	1.74	-0.87	0.024	3.812	-72.68086018	4	-18.17021505	1.560426471	2.935	1.965	0	0	0	3	2	0	4	0	0	0	3	2	1	2	0	1.91274	4.18373	4.72189
Fe	8	5	1	1.77	-1.204	2.146	4.358	-288.9174922	12	-24.07645768	0.619010305	3.059	2.041	2	1	0	1	1	0	5.166666667	1	1	0	1	1	1	3.5	0	2.14922	4.26968	4.60853
Fe	8	6	2	1.39	-1.24	2.373	3.812	-112.399472	4	-28.09986799	0	3.307	2.166	3	2	0	0	0	0	6	3	2	1	0	0	0	5	0	0.66128	3.25826	3.73862
Co	9	5	0	1.46	-0.73	0.926	1.105	-68.65988503	4	-17.16497126	1.403356878	2.839	1.883	0	0	0	3	2	0	5	0	0	0	3	2	1	3	0	1.99873	3.5769	4.5558
Co	9	6	1	1.31	-0.973	1.965	0	-271.011108	12	-22.584259	0.791826017	2.88	1.921	1	1	0	2	1	0	5.833333333	2	1	0	1	1	1	4.166666667	0	1.14361	2.86601	4.11957
Co	9	7	2	1.31	-1.24	2.013	2.744	-107.1219401	4	-26.78048501	0	3.218	2.126	3	2	0	0	0	0	7	3	2	0	0	0	1	5	0	0.62291	2.17414	3.8334
Ni	10	6	0	1.28	-0.64	1.032	0.002	-55.80938687	4	-13.95234672	2.02966868	2.767	1.856	0	0	0	3	2	0	6	0	0	1	3	2	0	5	0	1.24833	3.41373	4.37916
Ni	10	7	1	1.29	-0.963	0.256	1.213	-234.5723874	12	-19.54769895	1.868385132	2.845	1.969	2	1	0	1	1	0	7.166666667	1	1	0	2	1	0	6.833333333	1	2.21445	4.4721	4.97449
Ni	10	7	1	1.29	-0.963	0.256	1.213	-234.5723874	12	-19.54769895	-22.95209895	2.845	1.969	2	1	0	1	1	0	7.166666667	1	1	0	2	1	0	6.833333333	0	0.576038	2.18371	3.74313
Ni	10	8	2	1.25	-1.16	2.946	1.829	-99.28193631	4	-24.82048408	0	3.145	2.079	3	2	0	0	0	0	8	3	2	1	0	0	0	7	0	1.41378	3.85386	4.65414

