TM_name	n_d_el_atom	n_d_el_bulk	n_H_atoms	q_M	q_O	bandgap	magmom	e_tot_all	n_TM	e_tot_pa	e_form_rel	d_MM	d_MO	3nOH_active	2nOH_active	1nOH_active	3nO_active	2nO_active	1nO_active	n_d_el_active	3nOH_adjacent	2nOH_adjacent	1nOH_adjacent	3nO_adjacent	2nO_adjacent	1nO_adjacent	n_d_el_adjacent	bridge	ORR_dG_OH	ORR_dG_O	ORR_dG_OOH
Ti	4	0	0	2.020	-1.010	2.575	0.000	-93.897	4.000	-23.474	-0.285	3.042	2.008	0	0	0	3	2	0	0	0	0	0	3	2	0	0	0	2.02659	3.90615	4.53666
Ti	4	1	1	1.810	-1.225	1.396	0.988	-327.781	12.000	-27.315	-1.007	3.228	2.116	1	2	0	2	0	0	1.333333333	2	2	1	1	0	0	0.666666667	0	-0.529473	-0.17768	2.62152
Ti	4	2	2	1.460	-1.320	0.371	1.848	-118.849	4.000	-29.712	0.000	3.436	2.258	3	2	0	0	0	0	2	3	2	0	0	0	0	2	0	-1.11393	-0.80963	2.13016
V	5	1	0	1.890	-0.940	0.026	1.190	-87.791	4.000	-21.948	0.793	2.983	1.969	0	0	0	3	2	0	1	0	0	0	3	2	0	1	0	1.22058	2.15541	4.2113
V	5	2	1	1.740	-1.188	1.422	1.955	-324.521	12.000	-27.043	-0.105	3.074	2.068	1	2	0	2	0	0	2.333333333	2	2	1	1	0	0	1.666666667	0	0.189607	1.26722	3.29837
V	5	3	2	1.410	-1.260	1.454	2.848	-121.372	4.000	-30.343	0.000	3.316	2.201	3	2	0	0	0	0	3	3	2	0	0	0	0	3	0	-0.499005	0.504684	2.58076
Cr	6	2	0	1.830	-0.910	0.679	2.061	-86.042	4.000	-21.511	0.942	2.962	1.948	0	0	0	3	2	0	2	0	0	0	3	2	0	2	0	1.14677	2.52538	4.06657
Cr	6	3	1	1.670	-1.158	2.960	2.997	-327.858	12.000	-27.321	-0.522	3.059	2.030	2	2	0	1	0	0	3.666666667	1	2	1	2	0	0	2.333333333	0	0.278711	2.07981	3.33598
Cr	6	4	2	1.380	-1.280	1.705	3.825	-120.814	4.000	-30.203	0.000	3.588	2.271	3	2	0	0	0	0	4	3	2	0	0	0	0	4	0	0.201127	0.724286	3.15909
Mn	7	3	0	1.750	-0.880	1.734	3.114	-84.631	4.000	-21.158	1.155	2.914	1.937	0	0	0	3	2	0	3	0	0	0	3	2	0	3	0	1.62195	3.68334	4.44482
Mn	7	4	1	1.670	-1.153	1.376	3.857	-313.920	12.000	-26.160	0.712	3.236	2.079	1	2	0	2	0	0	4.333333333	2	2	0	1	0	0	4.666666667	0	0.793516	2.90969	3.93098
Mn	7	5	2	1.470	-1.300	1.685	4.652	-121.106	4.000	-30.277	0.000	3.362	2.223	3	2	0	0	0	0	5	3	2	0	0	0	0	5	0	0.928169	2.85321	3.9816
Fe	8	4	0	1.740	-0.870	0.024	3.812	-72.681	4.000	-18.170	1.560	2.935	1.965	0	0	0	3	2	0	4	0	0	0	3	2	0	4	0	1.99714	4.23961	4.82308
Fe	8	5	1	1.770	-1.204	2.146	4.358	-288.917	12.000	-24.076	0.619	3.059	2.041	2	2	0	1	0	0	5.666666667	1	2	0	2	0	0	5.333333333	0	0.864414	3.07682	4.07882
Fe	8	6	2	1.390	-1.240	2.373	3.812	-112.399	4.000	-28.100	0.000	3.307	2.166	3	2	0	0	0	0	6	3	2	0	0	0	0	6	0	0.814751	3.15483	4.11865
Co	9	5	0	1.460	-0.730	0.926	1.105	-68.660	4.000	-17.165	1.403	2.839	1.883	0	0	0	3	2	0	5	0	0	0	3	2	0	5	0	1.30643	3.07152	4.26415
Co	9	6	1	1.310	-0.973	1.965	0.000	-271.011	12.000	-22.584	0.792	2.880	1.921	2	2	0	1	0	0	6.666666667	1	2	1	2	0	0	5.333333333	0	1.28467	2.33274	4.46523
Co	9	7	2	1.310	-1.240	2.013	2.744	-107.122	4.000	-26.780	0.000	3.218	2.126	3	2	0	0	0	0	7	3	2	0	0	0	0	7	0	1.14578	2.48262	4.24858
Ni	10	6	0	1.280	-0.640	1.032	0.002	-55.809	4.000	-13.952	2.030	2.767	1.856	0	0	0	3	2	0	6	0	0	0	3	2	0	6	0	1.42002	3.76488	4.16316
Ni	10	7	1	1.290	-0.963	0.256	1.213	-234.572	12.000	-19.548	1.868	2.845	1.969	2	1	0	1	0	0	8.166666667	1	1	0	2	0	0	7.833333333	1	0.576038	2.18371	3.74313
Ni	10	7	1	1.290	-0.963	0.256	1.213	-234.572	12.000	-19.548	-22.952	2.845	1.969	2	2	0	1	0	0	7.666666667	1	2	0	2	0	0	7.333333333	0	1.96847	4.20918	4.66254
Ni	10	8	2	1.250	-1.160	2.946	1.829	-99.282	4.000	-24.820	0.000	3.145	2.079	3	2	0	0	0	0	8	3	2	0	0	0	0	8	0	2.04137	4.36074	4.98672
